Thema;Titel;Kürzel;Ziel des Versuchs;Apparatur;Chemikalien;Durchführung;Beobachtungen und Fazit;Bemerkungen;Bild-/Videoangaben;Schlagwörter;Ort;Dokumente
Chemische Reaktionen;Fällung Bariumsulfat;At;Massenerhaltung zeigen;"Waage + Digitalanzeige
Erlenmeyer 400 ml + passender Stopfen (RG muss im Erlenmeyer stehen können -> Abb. Häusler, S. 67) 
Einweg-Reagenzglas
Reagenzglas-Ständer
ev. Tropfpipette";"H2SO4 verd.
BaCl2-Lsg.";In den Erlenmeyer-Kolben wird etwas Bariumchlorid-Lösung eingefüllt (Boden sollte bedeckt sein). Das Reagenzglas zu 1/3 mit verdünnter Schwefelsäure füllen und so in den Erlenmeyerkolben stellen, dass keine Flüssigkeit austreten kann. Den Erlemeyerkolben mit dem Stopfen sorgfältig verschliessen und wiegen. Anschliessend den Erlenmeyerkolben so umschütteln, dass die beiden Flüssigkeiten miteinander reagieren können und erneut wiegen. Es bildet sich ein weisser Niederschlag von Bariumsulfat. Die Masse des Reaktionsgefässes ist unverändert.;;;;;;
Stoffe und ihre Eigenschaften;Tinte vs. Wasserfarbe;Km;Optische Unterscheidung homogener und heterogener Gemische;"blaue Wasserfarbe + Pinsel
2 Kristallisierschalen
Laserpointer";Methylenblau;Tinte (Methylenblau) und Wasserfarbe lösen bzw. suspendieren, Unterschied diskutieren und mit Laserpointer verdeutlichen (leichter Tyndall-Effekt);;;;"Gemische
Tyndall-Effekt";;
Stoffe und ihre Eigenschaften;Liebesthermometer;Km;(Repetition) Verdunsten (genauer Sättigungsdampfdruck) und Wärmeausdehnung;Liebesthermometer;;Als Liebestest inszenieren (die SuS ausprobieren lassen) danach (zusammen) erklären;;;;"Verdunsten
Sättigungsdampfdruck
Wärmeausdehnung";;
Stoffe und ihre Eigenschaften;Propanverflüssigung;Km;Druckabhängigkeit der Siedetemperatur, Energieumsatz beim Aggregatszustandswechsel;Propanverflüssiger;Propan;Die Gasverflüssigungspumpe im Abzug mit Feuerzeuggas füllen und verschliessen. Den Stempel so weit es geht nach unten drücken, arretieren und den SuS zeigen. Beim wieder Hochziehen des Stempels soll eine Schülerin oder ein Schüler die Hand unten ans Gefäss halten. Mehrmals wiederholen.;Feuerzeuggas wird ohne aktives Kühlen durch die Erhöhung des Drucks flüssig. Wird der Druck wieder verringert, geht das Feuerzeuggas wieder in den gasförmigen Zustand über, man fühlt am Gefäss eine deutliche Abkühlung. Das flüssige Propan/Butan-Gemisch entzieht zum Verdampfen demnach der Umgebung Wärme. Wenn man das Gas erneut verflüssigt, kann man auch fühlen, dass es warm wird.;;Gasverflüssigungspumpe (Quelle: Phywe);"Druckabhängigkeit
Siedetemperatur
Verflüssigung
Komprimierung";Zimmer 223c Schrank 2 Ablage 3 links?;
Chemische Reaktionen;Ethanol-Explosion in Dose;Km;exotherme Reaktion;"Chips-Dose mit Loch und Alufolienkügeli
Anzünder";Ethanol;Die Alufolienkügeli und einige Tropfen Ethanol in die Dose geben, schütteln, durch das Loch zünden.;;;;"Explosion
exotherme Reaktion
Ethanol";;
Elektrochemie;Kupferchloridsynthese;Km;typische Salzbildungsreaktion, Redoxreaktion, Alternative zur NaCl-Synthese;"Glaszylinder ""für Verbrennungen""
Kreuz aus Draht
Draht
Uhrglas
Gasbrenner
Tiegelzange";"Kupferfolie
Ca(OCl)2
HCl";"Kupferfolie mit Draht am Drahtkreuz befestigen
Im Zylinder Ca(OCl)2 vorlegen, HCl zugeben und mit Uhrglas abdecken
Kupferfolie kurz am Gasbrenner heizen, aber nicht so lange, dass bereits alles oxidiert ist!
Uhrglas entfernen, heisse Kupferfolie in den Zylinder hängen";;;;"Salz
Redoxreaktion
Kupferchlorid
Kupfer
Chlor
";;
Chemische Reaktionen;Verbrennung in reinem Wasserstoff;Sb;Charakterisierung von Verbrennungsreaktionen (brennbar vs. brandfördernd);"Glaszylinder mit passendem Korkstopfen
Rako-Kiste
Kerze an Glasstab befestigt
grosses Stativ mit Klammer
Messzylinder";Wasserstoff;Rako-Kiste mit Wasser füllen, so dass der Glaszylinder vollständig untergetaucht werden kann. Glaszylinder pneumatisch mit Wasserstoff füllen (Achtung: Es darf KEINE Luftblasen geben --> Gefahr einer Knallgasexplosion!) und unter Wasser mit dem Korkstopfen verschliessen. Glaszylinder mit der Öffnung ins Stativ einspannen, Stopfen ziehen und dann SOFORT die brennende Kerze von unten in den Zylinder bringen, dann wieder herausziehen. Den Stab mit der bereits brennenden Kerze am besten in einem Messzylinder nebendran stehen haben. ;Kerze erlischt im reinen Wasserstoff und wird an der fast nicht sichtbaren Flamme an der Öffnung des Zylinders wieder entzündet.;Den SuS sollte bekannt sein, dass Wasserstoff brennt und ein explosives Gemisch mit der Luft bilden kann. Dann denken alle, man würde sie umbringen wollen und dabei passiert … nichts.;;"Wasserstoff
Verbrennung";;
Chemisches Gleichgewicht;Synthese von Essigsäureethylester;Sb;Einstellung des Gleichgewichts aus beiden Richtungen einer Kondensationsreaktion zeigen;"zwei Zentrifugenröhrchen mit Dichtgummi im Deckel
Wasserbad
Heizplatte mit Temperaturfühler
2 x Messzylinder 100 ml
Messzylinder 10 ml, 25 ml, 50 ml";"Eisessig
Ethanol abs.
Ethylacetat
Schwefelsäure konz.";In ein Reagenzglas je 0.3 mol Essigsäure und Ethanol füllen, ins andere Reagenzglas je 0.3 mol Essigester und Wasser füllen, je 1 ml Schwefelsäure zugeben, fest verschliessen und schütteln. Reagenzgläser bei ca. 65 °C ins Wasserbad geben, Reaktionszeit ist ca. 20 min. Zwischendurch immer wieder schütteln. Dann Reaktionsgemisch auf je 50 ml Wasser in einen Messzylinder abgiessen und das Volumen des Essigesters (schwimmt oben auf) ablesen.;Im Idealfall (klappt meistens) findet man in beiden Reaktionsansätzen das gleiche Volumen an Essigester und kann den Stoffumsatz ins Gleichgewicht dann rechnen.;;;"Estersynthese
Stoffumsatz";;
Zwischenmolekulare Kräfte;Schwerkraft gibt es nicht;Fi;Stärke von Wasserstoffbrücken in Wasser demonstrieren;Plastik-Petrischale, Flasche mit aufgeklebtem Sieb (Schrank 5, Zi 223);Leitungswasser;Flasche so halten, dass SuS das Sieb nicht sehen können und mit Wasser füllen. Hälfte einer Petrischale auf die Öffnung der Flasche legen. SuS fragen, was passiert, wenn man die Flasche umdreht. Flasche umdrehen, Petrischale bleibt an Flasche kleben, Wasser läuft nicht aus. Den SuS eröffnen, dass die LPs der Fachschaft Chemie eine spirituelle Verbindung zu allen Stoffen haben und durch Gedankenkraft das Wasser davon überzeugen können in der Flasche zu bleiben. Petrischale entfernen und immer schön angestrengt aufs Wasser starren. Das Wasser bleibt drin. Nach einer gewissen Zeit erschöpft seufzen und die Flasche etwas schräg halten, das Wasser fliesst aus. SuS etwas zappeln lassen und dann zeigen, dass da ein Sieb auf der Öffnung klebt. Die Oberflächenspannung/Wasserstoffbrücken sind stark genug, dass Wasser davon abzuhalten durch die Maschen zu fliessen.;;Als Gegenbeispiel kann man es auch mit Ethanol probieren, da ist die Oberflächenspannung schon zu gering, es fliesst aus.;;Oberflächenspannung, Wasserstoffbrücken, Zaubertrick;;
Elektrochemie;Nordlichter;Fi;Demonstration einer parallelen Redox-Reaktion, HCL entfernt schützende Oxidschicht, Flammenfärbung von Kupfer, Entwicklung von Wasserstoff, schöner Weihnachtsversuch;"Weithalsiger Erlenmeyerkolben (500 ml oder grösser)
Messzylinder 100 ml
Lange Holzspäne/Streichhölzer
";"6 g CuCl2
200 ml dest. Wasser
Konz. HCl
Aluminiumfolie (ca. A4 grosse Fläche)";"1.       200 ml H2O in Erlenmayerkolben geben
2.       20 ml Konz. HCL zugeben
3.       CuCL2 zugeben und schwenken
4.       Aluminiumfolie in mehrere Stücke zerteilen, zu Kugeln formen und zugeben
";;Sehr schöner Versuch als Abschluss vor den Weihnachtsferien. Auch schöne Ergänzung zu Abscheidungsreaktionen und Redox-Reihe. Unbedingt weithalsigen Erlenmayer nehmen, damit genug Luft an die Reaktion kommt. Geht auch im Becherglas.;;Abscheidungsreaktion, Wasserstoff, Flammenfärbung, ;;
Reaktionsgeschwindigkeit;Blue Bottle;At;"Beispiel für zweier konkurrierender  Reaktion zeigen, auch bei Einführung ""Chemische Reaktion"" möglich - oder einfach nur ""zaubern"" für die SuS";"Rundkolben 500 mL + Glas-Stopfen + Korkring
Erlenmeyer-Kolben 200 mL";"11 g Glucose in 150 mL Wasser
ethanolische Methylenblaulösung (1%) 
Natronlauge (10g/150 mL Wasser)";"Vorbereitung: im Erlenmeyerkolben 10 g Glucose in 150 mL Wasser lösen | im Rundkolben 10g NaOH in 150 mL Wasser lösen 
Versuch durchführen: 1 mL ethanolische Methylenblaulösung (1%) in den Rundkolben geben und Glucose-Lösung hinzufügen | Flasche ruhig stehen lassen, nach Entfärbung (2-3 min.) Rundkolben schütteln, entlüften und wieder stehen lassen. Reaktion lässt sich mehrmals wiederholen, Intervall bis zur Entfärbung wird immer kürzer

";;Methylenblau-Lösung färbt stark, Kleidung schützen;;chemische Reaktion, Kinetik;;
Chemische Reaktionen;Massenerhaltung bei Verbrennungsreaktionen;Sb;Reaktionen in offenen und geschlossenen Gefässen, Gesetz der Massenerhaltung;"Streichhölzer
Reagenzglas mit Luftballon
Stahlwolle
Waage
Gasbrenner";;Man wiegt 3 - 4 Streichhölzer und notiert die Masse. Dann zündet man alle Streichhölzer zugleich an, lässt sie möglichst vollständig verbrennen und wiegt erneut. Man wiederholt den Versuch mit den Streichhölzern in einem Reagenzglas, das man mit einem Luftballon verschliesst und alles zusammen wiegt. Die Stahlwolle wird ebenfalls gewogen, in der Gasbrennerflamme durchgeglüht und erneut gewogen.;Werden die Streichhölzer offen verbrannt, ist das Verbrennungsprodukt leichter geworden, werden sie im verschlossenen Reagenzglas verbrannt, bleibt die Masse konstant. Die Stahlwolle ist nach dem Durchglühen in der Brennerflamme schwerer geworden. Die Verbrennungsprodukte der Streichhölzer sind gasförmig und entweichen in die Umgebung, wenn die Reaktion nicht in einem geschlossenen Gefäss durchgeführt wird. Die Stahlwolle wird durch das Glühen oxidiert und nimmt Sauerstoff aus der Umgebung auf, wodurch sie schwerer wird. ;;"Die Uni Wuppertal stellt sehr gute Animationen zur Verfügung, die die Phänomene erklären:

    https://chemiedidaktik.uni-wuppertal.de/fileadmin/Chemie/chemiedidaktik/files/flashlist/flash/verbrennung/index.html
   
https://chemiedidaktik.uni-wuppertal.de/fileadmin/Chemie/chemiedidaktik/files/html5_animations/rp-schmitz/verbrennung_eisen/verbrennung_eisen.html";;;
Chemische Reaktionen;Nachweis der Verbrennungsprodukte von Erdgas;Sb;Nachweis von Wasser und Kohlendioxid als Verbrennungsprodukte von Kohlenwasserstoffen;"Gasbrenner
Glastrichter
Glasrohr, gewinkelt
U-Rohr
Kristallisierschale oder Becherglas (mittelgross)
Gaswaschflasche
Wasserstrahlpumpe
Schlauchstücke zum Verbinden
Hebebühne und Stativmaterial
Eiswürfel";"Kalkwasser
Cobaltchlorid-Papier oder wasserfreies Kupfer(II)-sulfat
";"Die Apparatur wird gemäss der Abbildung unten aufgebaut. Der Trichter sowie die Gaswaschflasche sollten an einem Stativ geklammert werden, für die Kristallisierschale bzw. das Becherglas mit Eiswasser wird eine Hebebühne benötigt. Die Gaswaschflasche wird mit Kalkwasser befüllt und mit der Wasserstrahlpumpe am Lavabo verbunden. Das U-Rohr taucht ins Eiswasser ein. Dann stellt man den entflammten Gasbrenner unter den Trichter, nimmt sofort die Wasserstrahlpumpe in Betrieb und lässt den Versuch ""laufen"", bis sich das Kalkwasser deutlich getrübt hat. ";Die Kalkwasserprobe ist ein spezifischer Nachweis für Kohlendioxid, dies sollte vorgängig mit Kohlendioxid aus der Druckgasflasche gezeigt werden (Positivkontrolle, dazu Stickstoff und Sauerstoff als Negativkontrolle). Im U-Rohr kondensiert eine farblose Flüssigkeit, die mit einem Cobaltchlorid-Papier als Wasser nachgewiesen werden kann (Positivkontrolle zeigen, Negativkontrolle mit Ethanol abs. sonst zeigt der Test falsch positiv!). Alternativ kann man auch wasserfreies Kupfer(II)-sulfat für den Wassernachweis verwenden. Der Versuch funktioniert auch mit einer Kerze, mit Benzin oder Brennsprit. ;;"Die Kantonsschule Zürich Nord stellt ein Video zum Experiment zur Verfügung: https://www.youtube.com/watch?v=07w6nno75h0&t=1s&ab_channel=ChemieKZNKantonsschuleZ%C3%BCrichNord

Apparatur zum Nachweis der Verbrennungsprodukte von Erdgas";;;
Chemische Reaktionen;Pentanknaller;Sb;Energieumsatz einer Verbrennungsreaktion und Volumenarbeit;"1.5-l-PET-Flasche mit Loch
kleiner Gummistopfen für in die PET-Flasche
grosser Gummistopfen zum Verschliessen der PET-Flasche
Plastikpipette
Gasanzünder
";Pentan;"Man gibt den kleinen Gummistopfen in die PET-Flasche, verschliesst das Loch mit dem Daumen und tropft mit einer Plastikpipette 6 - 7 Tropfen Pentan in die Flasche. Dann verschliesst man die Flasche mit dem grossen Gummistopfen und schüttelt um das verdampfte Pentan in der Flasche zu verteilen. Man stellt die Flasche auf den Tisch, gibt das Loch frei und entzündet direkt am Loch das Pentan-Luft-Gemisch. Achtung: Je nach Gemisch ""pfeift"" es ziemlich laut, wer empfindlich ist, sollte einen Gehörschutz tragen! ";Das Pentan-Luft-Gemisch explodiert, der Gummistopfen auf der PET-Flasche fliegt an die Decke. Man sollte zuvor gezeigt haben, dass Pentan leicht flüchtig und entflammbar ist. Idealerweise hat man auch schon gezeigt, dass Kohlenwasserstoffe wie Pentan zu Kohlendioxid und Wasser verbrennen oder zeigt dies im Anschluss. Bei der Verbrennung von Pentan wird Wärme frei, die expandierenden Verbrennungsgase verrichten Volumenarbeit am Stopfen. ;;;;;
Reaktionsgeschwindigkeit;Katalytische Verbrennung von Wasserstoff;Sb;heterogene Katalyse;"Gasbrenner
Pasteurpipette aus Glas mit Stahlwolle als Rückschlagsicherung
";"Wasserstoff aus der Druckgasflasche
Platindraht
";Der Platindraht wird in der Gasbrennerflamme kurz ausgeglüht, dann lässt man vollständig wieder abkühlen. Man setzt an den Schlauch der Druckgasflasche eine Pasteurpipette aus Glas auf, in die man etwas Stahlwolle als Rückschlagsicherung einbringt. Dann stellt men einen ganz feinen Gasstrom ein, so dass man ihn an einer empfindlichen Stelle auf der Haut (z. B. am Hals) gerade noch spürt. Man lässt den Gasstrom seitlich über den Platindraht strömen. Das Experiment zeigt man am besten im leicht abgedunkelten Raum. Häufig schauen die Schüler*innen nicht genau genug hin und man muss das Experiment wiederholen. Achtung: Unbedingt den Gasschlauch vollständig mit Wasserstoffgas spülen, es darf sich keine Luft mehr darin befindet, sonst zündet man ein Knallgas! Unbedingt darauf achten, dass die Flamme vollständig erlischt, wenn man das Gas wieder abdreht! ;"Nach einigen Sekunden glüht der Platindraht auf, dann entzündet sich der ausströmende Wasserstoff. Die Schüler*innen sollten wissen, dass Wasserstoff brennbar ist und den Begriff ""Aktivierungsenergie"" kennen. Die Aktivierungsenergie wird sonst durch Zufuhr von Wärme überschritten, am Platindraht wird sie soweit herabgesetzt, dass die Verbrennungsreaktion bereits bei Raumtemperatur startet. Das Experiment ist die einfachste Möglichkeit, die Wirkung eines Katalysators zu zeigen, da es sich um eine Elementarreaktion handelt und der Katalysator offensichtlich nicht verbraucht wird.";;Das Video zeigt die Versuchsdurchfürung mit unserem Material: https://www.youtube.com/watch?v=QUEo09oaJt8&ab_channel=Antimon;;;
Stoffe und ihre Eigenschaften;Aggregatszustandsänderungen;Se, Fi;Lab in a drop;;;;;;;;;
Elektrochemie;Gewinnung von Metallen;Se, Fi;Lab in a drop;;;;;;;;;
Elektrochemie;Elektrolyse von Wasser;Se, Fi;Lab in a drop;;;;;;;;;
Stoffe und ihre Eigenschaften;Löslichkeit und Fällungen;Se, Fi;Lab in a drop;;;;;;;;;
